samp1,samp2,discord
dXeno 1 BM,dXeno 1 Spleen,0
dXeno 2 BM,dXeno 2 Spleen,1
dXeno 3 BM,dXeno 3 Spleen,1
dXeno 4 BM,dXeno 4 Spleen,1
dXeno 5 BM,dXeno 5 Spleen,1
dXeno 6 BM,dXeno 6 Spleen,1
dXeno 7 BM,dXeno 7 Spleen,1
dXeno 8 BM,dXeno 8 Spleen,1
dXeno 9 BM,dXeno 9 Spleen,1
dXeno 10 BM,dXeno 10 Spleen,0
dXeno 11 BM,dXeno 11 Spleen,0
dXeno 15 BM,dXeno 15 Spleen,0
