samp1,samp2,discord
dXeno 1 BM,dXeno 1 Spleen,1
dXeno 2 BM,dXeno 2 Spleen,1
dXeno 4 BM,dXeno 4 Spleen,1
dXeno 5 BM,dXeno 5 CNS,0
dXeno 5 BM,dXeno 5 Spleen,1
dXeno 8 BM,dXeno 8 Spleen,1
rXeno 1 BM,rXeno 1 CNS,1
