samp1,samp2,discord
rXeno 2 BM,rXeno 2 CNS,0
rXeno 3 BM,rXeno 3 CNS,0
rXeno 4 BM,rXeno 4 CNS,1
rXeno 12 BM,rXeno 12 CNS,1
