samp1,samp2,discord
rXeno 2 BM,rXeno 2 CNS,1
rXeno 4 BM,rXeno 4 CNS,0
rXeno 5 BM,rXeno 5 CNS,0
rXeno 7 BM,rXeno 7 CNS,1
rXeno 10 BM,rXeno 10 CNS,0
